Tähis või lühend 	Termin 	Termini nr 
CTI 	roomemoodustuse võrdlusindeks 	3.6.16 
EMC 	elektromagnetiline ühilduvus 	3.8.13 
fn 	tunnussagedus 	3.8.12 
Ic 	lühisvool 	3.8.6 
Icc 	kooste või koostesse kuuluva ahela tinglik tunnus-lühisvool 	3.8.10.4 
Ilt 	lõikevool, läbilaskevool 	3.8.8 
Icp 	arvutuslik lühisvool 	3.8.7 
Icw 	lühiajaline tunnus-taluvusvool 	3.8.10.3 
IB 	(elektriahela) ettenähtud vool 	3.8.10.8 
InA 	kooste tunnusvool 	3.8.10.7 
Inc 	peaahela tunnusvool 	3.8.10.5 
Ing 	peaahela rühmtunnusvool 	3.8.10.6 
Ipk 	tunnus-lööktaluvusvool 	3.8.10.2 
L 	faasijuht, poolusejuht, liinijuht 	3.1.14 
M 	keskjuht 	3.7.18 
N 	neutraaljuht 	3.7.5 
PE 	kaitsejuht 	3.7.4 
PEL 	PEL-juht 	3.7.20 
PEM 	PEM-juht 	3.7.19 
PELV 	maandatav kaitseväikepinge 	3.7.11 
PEN 	PEN-juht 	3.7.6 
RDF 	tunnus-samaaegsustegur 	3.8.11 
SCPD 	lühisekaitseaparaat 	3.1.11 
SELV 	maandusvaba kaitseväikepinge 	3.7.12 
SPD 	liigpingepiirik 	3.6.12 
Ue 	tunnus-talitluspinge 	3.8.9.2 
Ui 	isolatsiooni tunnuspinge 	3.8.9.3 
Uimp 	tunnus-impulsstaluvuspinge 	3.8.9.4 
Un 	tunnuspinge 	3.8.9.1 
